JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,C/H
8,FUL04,Draco119,[BS61]_119,'-2.93,'-3.25
12,COH09,DracoXI-2,[BSS2004]_Draco_J171917.5+580107.5,'-2.04,'-2.67
17,FRA16,BooII-15,[KWK2009]_15,'-2.98,'-3.01
18,JI16a,J135751.2+125137.0,[KWK2009]_15,'-2.86,'-2.46
19,FRA16,BooII-7,[KWK2009]_7,'-3.08,'-3.25
20,JI16a,J135801.4+125105.2,[KWK2009]_7,'-2.87,'-2.37
21,JI16a,J135759.7+125426.4,[KWK2009]_9,'-2.63,'-2.31
34,LAI07,CS22957-022,2MASS_J00014549-0549465,'-3.02,'-2.59
35,LAI08,CS22957-022,2MASS_J00014549-0549465,'-2.92,'-2.68
36,ROE14b,CS22957-022,2MASS_J00014549-0549465,'-3.28,'-3.11
37,ROE10,CS22876-040,2MASS_J00045244-3413372,'-2.34,<-1.64
38,ROE14b,CS22876-040,2MASS_J00045244-3413372,'-2.47,<-2.08
40,LI15a,LAMOSTJ0006+1057,2MASS_J00061720+1057419,'-3.26,'-3.58
41,BAR05,HE0005-0002,2MASS_J00080677+0014089,'-3.06,'-2.93
42,REN12,HE0005-0002,2MASS_J00080677+0014089,'-3.09,'-2.8
43,BAR05,CS31060-047,2MASS_J00080780-1554038,'-2.72,'-3.02
44,ALL12,CS31070-073,2MASS_J00085182+0526171,'-2.55,'-1.21
45,COH04,HE0007-1832,2MASS_J00095277-1816124,'-2.7,'-0.14
46,COH13,HE0007-1832,2MASS_J00095277-1816124,'-2.79,'-0.01
47,BAR05,HE0008-3842,2MASS_J00105603-3826100,'-3.33,'-4.26
48,HAN15,HE0010-3422,2MASS_J00130901-3405548,'-2.78,'-0.86
49,LAI07,CS31070-058,2MASS_J00143392+0551447,'-2.29,'-2.01
50,COH06,HE0012-1441,2MASS_J00152706-1424376,'-2.57,'-0.77
51,COH13,HE0012-1441,2MASS_J00152706-1424376,'-2.52,'-0.81
52,HOL11,HE0013-0257,2MASS_J00160423-0241052,'-3.82,'-3.6
53,HOL11,HE0013-0522,2MASS_J00162809-0505519,'-3.24,'-2.82
54,ROE14b,CS30339-015,2MASS_J00165810-3348175,'-3.0,'-2.52
55,HOL11,HE0015+0048,2MASS_J00180143+0105081,'-3.08,'-2.46
56,BAR05,HE0017-4838,2MASS_J00194832-4821236,'-3.23,'-3.56
57,PRE06,CS22882-001,2MASS_J00202529-3139040,'-2.49,'-2.43
58,ROE14b,CS22882-001,2MASS_J00202529-3139040,'-2.62,<-1.93
62,BON09,BS17570-063,2MASS_J00203619+2347376,'-2.92,'-2.4
65,BAR05,HE0018-1349,2MASS_J00205238-1332296,'-2.27,'-1.94
66,ROE14b,CS22882-006,2MASS_J00215986-2929265,'-2.94,'-2.75
67,ROE14b,CS30339-052,2MASS_J00225014-3407207,'-2.69,'-2.0
68,BAR05,CS30339-0041,2MASS_J00231293-3701267,'-2.21,'-2.66
70,ROE14b,CS30339-046,2MASS_J00252167-3630244,'-2.71,<-0.08
71,BAR05,HE0023-4825,2MASS_J00255030-4808270,'-2.06,'-1.79
72,REN12,HE0023-4825,2MASS_J00255030-4808270,'-2.06,'-1.63
74,LUC03,HE0024-2523,2MASS_J00272766-2506281,'-2.72,'-0.03
75,BAR05,CS29497-004,2MASS_J00280692-2603042,'-2.81,'-2.63
76,CHR04,CS29497-004,2MASS_J00280692-2603042,'-2.68,'-2.57
77,REN12,CS29497-004,2MASS_J00280692-2603042,'-2.81,'-2.47
79,BON09,CS30339-069,2MASS_J00301595-3556512,'-3.08,'-2.4
80,ROE14b,CS30339-069,2MASS_J00301595-3556512,'-3.5,<-2.43
82,ROE14b,CS22882-030,2MASS_J00302004-3020584,'-3.47,<-2.93
83,ROE14b,CS22882-012,2MASS_J00302250-2735272,'-2.76,'-1.65
84,AOK02d,CS31062-050,2MASS_J00303106-1205108,'-2.31,'-0.22
86,LAI07,CS31062-050,2MASS_J00303106-1205108,'-2.65,'-0.82
87,BAR05,HE0029-1839,2MASS_J00320775-1822368,'-2.5,'-2.22
88,REN12,HE0029-1839,2MASS_J00320775-1822368,'-2.5,'-2.07
89,AOK07a,CS31062-041,2MASS_J00350301-1554292,'-2.42,'-1.83
90,BAR05,CS31062-041,2MASS_J00350301-1554292,'-2.68,'-2.23
91,AOK08,SDSS0036-10,2MASS_J00360218-1043362,'-2.46,'-0.13
92,BAR05,HE0037-2657,2MASS_J00395177-2641320,'-3.22,'-2.95
95,BAR05,HE0043-2845,2MASS_J00455594-2829172,'-2.91,'-2.75
96,REN12,HE0043-2845,2MASS_J00455594-2829172,'-2.91,'-2.6
97,BAR05,HE0044-4023,2MASS_J00462937-4007226,'-2.56,'-2.2
98,BAR05,HE0044-2459,2MASS_J00463587-2443022,'-3.28,'-2.87
99,ROE14b,CS22942-002,2MASS_J00463587-2443022,'-3.61,'-3.26
101,BAR05,HE0049-5700,2MASS_J00520684-5644374,'-2.4,'-2.05
102,YON13,HE0049-3948,2MASS_J00521335-3932368,'-3.68,<-1.87
103,BAR05,HE0051-2304,2MASS_J00535152-2247539,'-2.44,'-3.12
104,REN12,HE0051-2304,2MASS_J00535152-2247539,'-2.41,'-2.93
105,ROE14b,CS22942-011,2MASS_J00541299-2504338,'-2.88,'-2.6
106,BAR05,HE0054-0657,2MASS_J00572078-0640593,'-2.0,'-1.75
107,REN12,HE0054-0657,2MASS_J00572078-0640593,'-2.0,'-1.59
108,LAI07,CS22166-016,2MASS_J00582384-1447068,'-2.47,'-2.09
109,ROE14b,CS22166-016,2MASS_J00582384-1447068,'-3.22,'-3.08
110,SKU15,ET0097,2MASS_J00591209-3346208,'-2.03,'-1.43
113,BAR05,HE0057-4541,2MASS_J00595927-4524534,'-2.31,'-2.17
114,SIQ14,HE0057-4541,2MASS_J00595927-4524534,'-2.34,'-1.85
121,FRE10a,S1020549,2MASS_J01004785-3341029,'-3.81,<-3.65
122,ALL12,CS22183-015,2MASS_J01005303-0228200,'-2.85,'-0.39
123,COH06,HE0058-0244,2MASS_J01005303-0228200,'-2.8,'-0.67
124,COH13,CS22183-015,2MASS_J01005303-0228200,'-2.76,'-0.71
125,LAI07,CS22183-015,2MASS_J01005303-0228200,'-3.17,'-0.94
126,MAS12,CS22183-015,2MASS_J01005303-0228200,'-2.92,'-0.53
129,CAY04,CS22953-003,2MASS_J01021585-6143458,'-2.85,'-2.45
130,MCW95,CS22953-003,2MASS_J01021585-6143458,'-2.79,'-2.33
131,ROE14b,CS22953-003,2MASS_J01021585-6143458,'-3.13,'-2.9
135,HAN15,HE0100-1622,2MASS_J01025848-1606309,'-2.93,'-0.18
136,ROE14b,CS22942-035,2MASS_J01035747-2352452,'-3.08,'-2.86
138,YON13,HE0102-1213,2MASS_J01052796-1157310,'-3.28,<-1.97
139,BAR05,HE0104-5300,2MASS_J01065190-5244105,'-3.31,'-3.36
140,BAR05,HE0104-4007,2MASS_J01065601-3951512,'-3.3,'-2.84
141,BAR05,HE0105-6141,2MASS_J01073782-6125176,'-2.55,'-2.39
142,REN12,HE0105-6141,2MASS_J01073782-6125176,'-2.55,'-2.23
143,SIQ14,HE0105-6141,2MASS_J01073782-6125176,'-2.56,'-2.33
145,HON04,CS22183-031,2MASS_J01090507-0443211,'-2.92,'-2.38
146,LAI07,CS22183-031,2MASS_J01090507-0443211,'-2.71,'-2.23
147,ROE14b,CS22183-031,2MASS_J01090507-0443211,'-3.57,'-3.2
149,ROE14b,CS29514-017,2MASS_J01094480-2616549,'-2.35,'-2.48
153,BAR05,HE0109-0742,2MASS_J01114706-0726321,'-2.52,'-2.71
154,HAN15,HE0109-4510,2MASS_J01120810-4454165,'-2.96,'-2.53
158,BAR05,HE0111-1454,2MASS_J01134908-1438231,'-2.99,'-3.25
163,ROE14b,CS29514-037,2MASS_J01214169-2703312,'-2.62,'-2.43
164,BAR05,HE0121-2826,2MASS_J01233713-2810280,'-2.97,'-2.46
165,REN12,HE0121-2826,2MASS_J01233713-2810280,'-2.97,'-2.31
168,CAY04,CS29518-051,2MASS_J01241001-2815210,'-2.65,'-2.73
171,AOK08,SDSS0126+06,2MASS_J01261795+0607248,'-3.16,'-0.23
172,AOK13,SDSSJ012617.95+060724.8,2MASS_J01261795+0607248,'-3.01,0.07
173,LI15a,LAMOSTJ0126+0135,2MASS_J01265856+0135153,'-3.57,'-4.08
174,ROE14b,CS29504-006,2MASS_J01320497-3622429,'-3.12,'-1.53
175,BAR05,HE0131-2740,2MASS_J01332576-2725279,'-3.08,'-2.77
176,BAR05,HE0131-3953,2MASS_J01333645-3937519,'-2.68,'-0.27
177,HAN15,HE0134-1519,2MASS_J01370537-1504227,'-3.98,'-2.98
178,HAN14,HE0134-1519,2MASS_J01370537-1504227,'-3.98,'-2.86
179,BAR05,HE0143-4146,2MASS_J01451803-4131464,'-2.95,'-2.88
180,BAR05,HE0143-4108,2MASS_J01451993-4053363,'-2.62,'-2.5
181,COH04,HE0143-0441,2MASS_J01453792-0426434,'-2.21,'-0.54
182,COH06,HE0143-0441,2MASS_J01453792-0426434,'-2.36,'-0.17
183,COH13,HE0143-0441,2MASS_J01453792-0426434,'-2.31,'-0.21
184,BAR05,HE0143-1135,2MASS_J01461033-1120107,'-2.13,'-1.94
185,REN12,HE0143-1135,2MASS_J01461033-1120107,'-2.13,'-1.78
186,YON13,HE0146-1548,2MASS_J01483472-1533243,'-3.46,'-2.62
187,BAR05,HE0157-3335,2MASS_J02000022-3321220,'-3.08,'-3.34
188,ROE14a,CS22958-042,2MASS_J02010743-5716588,'-3.4,'-0.84
189,ROE14b,CS22958-042,2MASS_J02010743-5716588,'-3.4,'-0.84
190,SIV06,CS22958-042,2MASS_J02010743-5716588,'-2.85,0.27
191,BAR05,HE0200-0955,2MASS_J02031620-0940488,'-2.47,'-2.09
192,JAC15,2MASS_J02031860-7930291,2MASS_J02031860-7930291,'-3.03,'-3.55
194,AOK07a,HE0206-1916,2MASS_J02091962-1901554,'-2.14,'-0.03
195,YON13,HE0207-1423,2MASS_J02100069-1409110,'-2.95,'-0.57
196,COH06,HE0212-0557,2MASS_J02150250-0543235,'-2.32,'-0.37
197,COH13,HE0212-0557,2MASS_J02150250-0543235,'-2.27,'-0.41
198,BAR05,CS22958-083,2MASS_J02154272-5359561,'-2.79,'-2.19
199,PRE06,CS22958-083,2MASS_J02154272-5359561,'-2.97,'-2.26
200,ROE14b,CS22958-083,2MASS_J02154272-5359561,'-3.05,'-2.52
201,BAR05,CS22175-007,2MASS_J02172662-0900451,'-2.81,'-2.66
202,REN12,CS22175-007,2MASS_J02172662-0900451,'-2.81,'-2.5
204,BAR05,CS29510-058,2MASS_J02214656-2401586,'-2.61,'-2.25
205,LAI07,CS29510-058,2MASS_J02214656-2401586,'-2.51,'-1.88
206,REN12,CS29510-058,2MASS_J02214656-2401586,'-2.61,'-2.09
207,ALL12,CS29528-028,2MASS_J02282654-2133009,'-2.12,0.68
208,AOK07a,CS29528-028,2MASS_J02282654-2133009,'-2.91,'-0.13
210,BAR05,HE0231-4016,2MASS_J02334439-4003428,'-2.08,'-0.76
211,HAN15,HE0233-0343,2MASS_J02362978-0330060,'-4.68,'-1.2
212,HAN14,HE0233-0343,2MASS_J02362978-0330060,'-4.68,'-1.08
214,BON09,CS31061-032,2MASS_J02384329+0319024,'-2.58,'-1.9
220,CAY04,CS22189-009,2MASS_J02414237-1328105,'-3.49,'-3.09
221,MCW95,CS22189-009,2MASS_J02414237-1328105,'-3.42,'-3.23
222,ROE14b,CS22189-009,2MASS_J02414237-1328105,'-3.92,'-3.62
225,BAR05,HE0240-6105,2MASS_J02420609-6053031,'-3.23,'-3.52
226,BAR05,HE0240-0807,2MASS_J02425772-0754354,'-2.68,'-3.06
227,REN12,HE0240-0807,2MASS_J02425772-0754354,'-2.68,'-2.91
228,SIQ14,HE0240-0807,2MASS_J02425772-0754354,'-2.86,'-3.23
229,HAN15,HE0243-3044,2MASS_J02451642-3032022,'-2.58,'-0.15
230,BAR05,HE0243-5238,2MASS_J02453619-5225577,'-3.04,'-2.68
231,BAR05,HE0244-4111,2MASS_J02455745-4059068,'-2.56,'-2.35
232,BAR05,HE0243-0753,2MASS_J02461415-0740531,'-2.49,'-2.24
233,BAR05,HE0248+039,2MASS_J02505905+0051313,'-2.53,'-2.47
234,LAI07,CS22963-004,2MASS_J02564657-0451174,'-3.03,<-2.9
235,LAI08,CS22963-004,2MASS_J02564657-0451174,'-3.41,'-2.93
236,ROE14b,CS22963-004,2MASS_J02564657-0451174,'-4.09,'-3.58
237,BAR05,HE0256-1109,2MASS_J02591016-1058019,'-2.73,'-2.1
238,LAI07,CS31078-018,2MASS_J03010069+0616318,'-3.02,'-2.29
239,LAI08,CS31078-018,2MASS_J03010069+0616318,'-2.83,'-2.38
240,BAR05,HE0300-0751,2MASS_J03030406-0739423,'-2.27,'-2.21
241,REN12,HE0300-0751,2MASS_J03030406-0739423,'-2.27,'-2.05
244,CAY04,CS22968-014,2MASS_J03062950-5430325,'-3.57,'-3.22
245,COH13,HE0305-5442,2MASS_J03062950-5430325,'-3.3,'-2.91
246,MCW95,CS22968-014,2MASS_J03062950-5430325,'-3.39,'-3.18
247,ROE14b,CS22968-014,2MASS_J03062950-5430325,'-3.99,'-3.6
251,BAR05,HE0305-4520,2MASS_J03070219-4509006,'-2.91,'-2.63
252,SPI14,HE0305-4520,2MASS_J03070219-4509006,'-2.96,'-2.41
254,BAR05,HE0308-1154,2MASS_J03110972-1143212,'-2.82,'-2.48
257,CAY04,CS22172-002,2MASS_J03142084-1035112,'-3.86,'-3.77
258,NOR01,CS22172-002,2MASS_J03142084-1035112,'-3.61,'-3.27
262,LAI07,CS22185-007,2MASS_J03173604-1517227,'-2.45,'-2.07
263,ROE14b,CS22185-007,2MASS_J03173604-1517227,'-3.06,'-2.9
264,BAR05,HE0315+0000,2MASS_J03173900+0011045,'-2.73,'-2.59
266,REN12,HE0315+0000,2MASS_J03173900+0011045,'-2.73,'-2.43
267,BAR05,HE0317-4640,2MASS_J03185625-4629276,'-2.32,'-2.14
268,BAR05,HE0316+0214,2MASS_J03190922+0224543,'-3.14,'-3.89
269,BAR05,HE0323-4529,2MASS_J03253020-4519315,'-3.14,'-2.8
270,REN12,HE0323-4529,2MASS_J03253020-4519315,'-3.15,'-2.65
271,ALL12,CS29526-110,2MASS_J03274362-2300299,'-2.19,0.18
272,AOK02d,CS29526-110,2MASS_J03274362-2300299,'-2.38,'-0.09
273,AOK08,CS29526-110,2MASS_J03274362-2300299,'-2.11,'-0.03
274,BAR05,HE0328-1047,2MASS_J03304535-1037098,'-2.24,'-2.14
275,REN12,HE0328-1047,2MASS_J03304535-1037098,'-2.25,'-1.98
276,ROE14b,CS22172-029,2MASS_J03304535-1037098,'-2.68,'-2.63
277,BAR05,HE0330-4004,2MASS_J03320737-3954501,'-2.19,'-2.15
279,BAR05,HE0331-4939,2MASS_J03324183-4929094,'-2.87,'-2.57
280,BAR05,HE0333-4001,2MASS_J03352577-3951468,'-2.64,'-2.37
281,BAR05,HE0336-3829,2MASS_J03383179-3820140,'-2.75,'-2.56
282,BAR05,HE0337-5127,2MASS_J03391312-5118163,'-2.61,'-2.49
283,BAR05,HE0338-3945,2MASS_J03395500-3935429,'-2.41,'-0.38
284,JON06,HE0338-3945,2MASS_J03395500-3935429,'-2.43,'-0.35
286,BAR05,HE0340-5355,2MASS_J03413456-5346180,'-2.88,'-3.03
287,REN12,HE0340-5355,2MASS_J03413456-5346180,'-2.89,'-2.88
290,LI15a,LAMOSTJ0343-0227,2MASS_J03432286-0227560,'-2.42,'-2.53
292,BAR05,HE0347-1819,2MASS_J03491837-1810405,'-2.77,'-2.78
293,REN12,HE0347-1819,2MASS_J03491837-1810405,'-2.78,'-2.63
294,LAI07,CS22190-007,2MASS_J03522180-1624325,'-2.02,'-1.89
295,PRE06,CS22190-007,2MASS_J03522180-1624325,'-2.57,'-2.32
296,BAR05,HE0353-6024,2MASS_J03535930-6015154,'-3.17,'-2.92
297,REN12,HE0353-6024,2MASS_J03535930-6015154,'-3.17,'-2.76
298,ROE14b,CS30494-003,2MASS_J03591002-2106479,'-2.97,'-2.84
299,ROE14b,CS29529-054,2MASS_J03592387-6210089,'-2.55,'-2.16
301,BAR05,HE0400-2917,2MASS_J04020635-2908479,'-2.88,'-2.77
303,BAR05,HE0401-0138,2MASS_J04034987-0130025,'-3.34,'-3.13
305,BON09,CS22177-009,2MASS_J04074064-2502439,'-3.1,'-2.6
306,ROE14b,CS22177-009,2MASS_J04074064-2502439,'-3.42,<-2.48
311,CAY04,CS22169-035,2MASS_J04121388-1205050,'-3.04,'-3.17
312,HON04,CS22169-035,2MASS_J04121388-1205050,'-2.71,'-2.84
313,ROE14b,CS22169-035,2MASS_J04121388-1205050,'-3.31,'-3.45
317,HAN15,HE0411-3558,2MASS_J04130905-3550386,'-2.81,<-2.11
320,ROE14b,CS22186-002,2MASS_J04135721-3646255,'-2.72,'-2.66
321,ROE14b,CS22186-017,2MASS_J04162226-3417576,'-2.82,'-2.57
322,BAR05,HE0417-0821,2MASS_J04193150-0814193,'-2.33,'-2.12
323,BAR05,CS22186-023,2MASS_J04194553-3651359,'-2.72,'-2.46
324,ROE14b,CS22186-023,2MASS_J04194553-3651359,'-3.04,'-2.83
326,PRE06,CS22182-033,2MASS_J04231047-3037041,'-2.67,'-2.43
327,ROE14b,CS22182-033,2MASS_J04231047-3037041,'-2.65,'-2.34
330,BAR05,CS22186-025,2MASS_J04243280-3709025,'-2.87,'-3.6
331,CAY04,CS22186-025,2MASS_J04243280-3709025,'-3.0,'-3.45
334,BAR05,HE0430-4901,2MASS_J04313114-4854416,'-2.72,'-2.67
335,BAR05,HE0430-4404,2MASS_J04313811-4357486,'-2.08,'-0.68
336,BAR05,HE0432-0923,2MASS_J04342566-0916505,'-3.19,'-2.99
337,BAR05,HE0436-4008,2MASS_J04381113-4003017,'-2.35,'-1.9
338,BAR05,HE0441-4343,2MASS_J04432041-4338205,'-2.52,'-2.23
339,AOK07a,HE0441-0652,2MASS_J04432988-0646534,'-2.52,'-1.13
340,SIV06,CS31080-095,2MASS_J04442200-4513542,'-2.85,'-0.18
341,BAR05,HE0442-1234,2MASS_J04445170-1228454,'-2.41,'-3.06
343,REN12,HE0442-1234,2MASS_J04445170-1228454,'-2.41,'-2.9
345,BAR05,HE0450-4705,2MASS_J04513356-4700038,'-3.1,'-2.29
346,REN12,HE0450-4705,2MASS_J04513356-4700038,'-3.1,'-2.14
347,BAR05,HE0454-4758,2MASS_J04552670-4753417,'-3.1,'-2.71
348,ROE14b,HE0454-4758,2MASS_J04552670-4753417,'-3.38,'-3.05
349,BAR05,HE0501-5644,2MASS_J05023526-5640208,'-2.4,'-2.17
350,BAR05,HE0501-5139,2MASS_J05024821-5135362,'-2.38,'-2.02
351,REN12,HE0501-5139,2MASS_J05024821-5135362,'-2.38,'-1.86
352,BAR05,CS31072-118,2MASS_J05085355-5918217,'-3.06,'-3.61
353,BAR05,HE0512-3835,2MASS_J05135949-3831546,'-2.39,'-2.66
354,BAR05,HE0513-4557,2MASS_J05151221-4554104,'-2.79,'-2.44
355,BAR05,HE0516-3820,2MASS_J05181291-3817326,'-2.32,'-1.97
356,SIQ14,HE0516-3820,2MASS_J05181291-3817326,'-2.48,'-2.08
357,BAR05,HE0517-1952,2MASS_J05191876-1949131,'-2.61,'-3.17
358,BAR05,HE0519-5525,2MASS_J05195914-5522418,'-2.52,'-2.27
359,BAR05,HE0520-1748,2MASS_J05222586-1746069,'-2.52,'-2.11
360,REN12,HE0520-1748,2MASS_J05222586-1746069,'-2.52,'-1.95
361,BAR05,HE0524-2055,2MASS_J05270444-2052420,'-2.59,'-2.87
362,REN12,HE0524-2055,2MASS_J05270444-2052420,'-2.58,'-2.71
363,SIQ14,HE0524-2055,2MASS_J05270444-2052420,'-2.74,'-2.59
364,BAR05,2MASSJ05355294-4613359,2MASS_J05355294-4613359,'-2.01,'-1.92
365,REN12,HE0534-4615,2MASS_J05355294-4613359,'-2.01,'-1.76
367,BAR05,HE0547-4539,2MASS_J05491378-4539040,'-3.01,'-2.55
368,NOR07,HE0557-4840,2MASS_J05583926-4839567,'-4.73,'-3.14
369,NOR12,HE0557-4840,2MASS_J05583926-4839567,'-4.79,'-3.03
370,AOK08,SDSS0817+26,2MASS_J08175492+2641038,'-3.21,<-0.83
372,LAI07,BS17444-032,2MASS_J08242941+3813081,'-2.43,<-2.3
373,FRE10a,UMa-S1,2MASS_J08495341+6308216,'-3.15,'-2.37
374,FRE10a,UMa-S2,2MASS_J08523350+6305009,'-3.28,'-2.73
375,FRE10a,UMa-S3,2MASS_J08525902+6305544,'-2.39,'-3.17
376,LAI07,BS17139-007,2MASS_J08541250+2919146,'-2.42,'-1.99
377,BAR05,HE0858-0016,2MASS_J09013236-0028019,'-2.75,'-3.59
378,AOK08,SDSS0924+40,2MASS_J09240185+4059288,'-2.56,0.17
379,JAC15,2MASS_J09380777-0600392,2MASS_J09380777-0600392,'-2.68,<-1.68
380,BAR05,HE0951-1152,2MASS_J09541733-1206151,'-2.62,'-2.55
