JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,O/H
8,FUL04,Draco119,[BS61]_119,'-2.93,<-2.18
10,SHE01,Draco24,[BS61]_24,'-2.34,'-1.84
12,COH09,DracoXI-2,[BSS2004]_Draco_J171917.5+580107.5,'-2.04,'-1.98
14,KOC08,Her2,[KCG2013]_Herc_308_205,'-2.07,'-0.93
16,KOC08,Her3,[KMG2008]_Her-3,'-2.09,'-1.18
35,LAI08,CS22957-022,2MASS_J00014549-0549465,'-2.92,'-2.19
36,ROE14b,CS22957-022,2MASS_J00014549-0549465,'-3.28,<-1.84
37,ROE10,CS22876-040,2MASS_J00045244-3413372,'-2.34,'-1.49
38,ROE14b,CS22876-040,2MASS_J00045244-3413372,'-2.47,'-2.01
48,HAN15,HE0010-3422,2MASS_J00130901-3405548,'-2.78,<-0.76
54,ROE14b,CS30339-015,2MASS_J00165810-3348175,'-3.0,<-2.19
66,ROE14b,CS22882-006,2MASS_J00215986-2929265,'-2.94,'-2.27
67,ROE14b,CS30339-052,2MASS_J00225014-3407207,'-2.69,'-2.18
70,ROE14b,CS30339-046,2MASS_J00252167-3630244,'-2.71,'-3.33
74,LUC03,HE0024-2523,2MASS_J00272766-2506281,'-2.72,'-2.18
82,ROE14b,CS22882-030,2MASS_J00302004-3020584,'-3.47,<-2.09
83,ROE14b,CS22882-012,2MASS_J00302250-2735272,'-2.76,'-2.63
99,ROE14b,CS22942-002,2MASS_J00463587-2443022,'-3.61,<-2.4
105,ROE14b,CS22942-011,2MASS_J00541299-2504338,'-2.88,'-2.05
110,SKU15,ET0097,2MASS_J00591209-3346208,'-2.03,'-1.36
111,GEI05,Star195,2MASS_J00595568-3346400,'-2.1,'-1.59
129,CAY04,CS22953-003,2MASS_J01021585-6143458,'-2.85,'-2.04
131,ROE14b,CS22953-003,2MASS_J01021585-6143458,'-3.13,<-1.96
135,HAN15,HE0100-1622,2MASS_J01025848-1606309,'-2.93,<-0.63
